"scene_id","title","release_year","scene_location","scene_location","production_co","director","filming_type","zip_code","start_date","end_date"
"136077","Vertigo","1958","Gough & Eddy Streets (Western Addition)","gough & eddy streets (western addition)","Alfred J. Hitchcock Productions","Alfred Hitchcock","Feature Film","94109","9/25/1958","9/28/1958"
"964878","Vertigo","1958","Fort Point (Presidio, Golden Gate National Recreation Area)","fort point (presidio golden gate national recreation area)","Alfred J. Hitchcock Productions","Alfred Hitchcock","Feature Film","94129","5/12/1958","5/15/1958"
"439447","Vertigo","1958","Fairmont Hotel (950 Mason Street, Nob Hill)","fairmont hotel (950 mason street nob hill)","Alfred J. Hitchcock Productions","Alfred Hitchcock","Feature Film","94108","5/24/1958","5/27/1958"
"964164","Vertigo","1958","Ernie's Restaurant (847 Montgomery Street)","ernie's restaurant (847 montgomery street)","Alfred J. Hitchcock Productions","Alfred Hitchcock","Feature Film","94111","3/2/1958","3/5/1958"
"108945","Vertigo","1958","Conservatory of Flowers (Golden Gate Park)","conservatory of flowers (golden gate park)","Alfred J. Hitchcock Productions","Alfred Hitchcock","Feature Film","94118","12/10/1958","12/13/1958"
"484213","Vertigo","1958","Claude Lane at Bush Street","claude lane at bush street","Alfred J. Hitchcock Productions","Alfred Hitchcock","Feature Film","94110","2/12/1958","2/15/1958"
"444670","Vertigo","1958","California Palace of the Legion of Honor (34th Avenue & Clement, Lincoln Park)","california palace of the legion of honor (34th avenue & clement lincoln park)","Alfred J. Hitchcock Productions","Alfred Hitchcock","Feature Film","94121","11/14/1958","11/17/1958"
"476659","Vertigo","1958","Brocklebank Apartments (1000 Mason Street)","brocklebank apartments (1000 mason street)","Alfred J. Hitchcock Productions","Alfred Hitchcock","Feature Film","94108","6/19/1958","6/22/1958"
"872878","Vertigo","1958","900 Lombard Street","900 lombard street","Alfred J. Hitchcock Productions","Alfred Hitchcock","Feature Film","94133","4/15/1958","4/18/1958"
"184393","Vertigo","1958","1007 Gough Street","1007 gough street","Alfred J. Hitchcock Productions","Alfred Hitchcock","Feature Film","94109","11/26/1958","11/29/1958"
"544603","Midnight Lace","1960","Fairmont Hotel (950 Mason Street, Nob Hill)","fairmont hotel (950 mason street nob hill)","Arwin Productions","David Miller","Feature Film","94108","7/4/1960","7/7/1960"
"960427","Flower Drum Song","1961","Golden Gate Bridge","golden gate bridge","Fields Productions","Henry Koster","Feature Film","94129","10/23/1961","10/26/1961"
"631648","Flower Drum Song","1961","Chinatown","chinatown","Fields Productions","Henry Koster","Feature Film","94108","11/26/1961","11/29/1961"
"213463","Pleasure of His Company","1961","Grace Cathedral Episcopal Church (1100 California Street)","grace cathedral episcopal church (1100 california street)","Perlsea Company","George Seaton","Feature Film","94108","7/17/1961","7/20/1961"
"592641","Pleasure of His Company","1961","2700 Vallejo Street (Pacific Heights)","2700 vallejo street (pacific heights)","Perlsea Company","George Seaton","Feature Film","94123","11/26/1961","11/29/1961"
"653307","Susan Slade","1961","On Board the SS President Cleveland, docked at Pier 50","on board the ss president cleveland docked at pier 50","Warner Bros. Pictures","Delmer Daves","Feature Film","94102","2/12/1961","2/15/1961"
"784348","Swingin' Along","1961","Powell Street","powell street","Twentieth Century Fox Film Corporation","Charles Barton","Feature Film","94102","4/23/1961","4/26/1961"
"983725","Birdman of Alcatraz","1962","Alcatraz Island","alcatraz island","Norma Productions","John Frankenheimer","Feature Film","94133","3/9/1962","3/12/1962"
"182555","Birdman of Alcatraz","1962","Pier 43 1/2","pier 43 1/2","Norma Productions","John Frankenheimer","Feature Film","94133","5/10/1962","5/13/1962"
"208126","Experiment in Terror","1962","George Washington High School (600 32nd Avenue )","george washington high school (600 32nd avenue )","Columbia Pictures Corporation","Blake Edwards","Feature Film","94121","12/23/1962","12/26/1962"
"744792","Experiment in Terror","1962","Wells Fargo Bank (1 California Street, Financial District)","wells fargo bank (1 california street financial district)","Columbia Pictures Corporation","Blake Edwards","Feature Film","94111","6/25/1962","6/28/1962"
